DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2017-11,87.7,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2017-12,89.5,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2018-01,90.8,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2018-02,90.8,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2018-03,91.0,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2018-04,93.2,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2018-05,88.0,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2018-06,85.7,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2018-07,89.7,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2018-08,87.5,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2018-09,90.5,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2018-10,87.0,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2018-11,84.5,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2018-12,85.6,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2019-01,86.3,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2019-02,93.6,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2019-03,92.4,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2019-04,83.6,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2019-05,84.2,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2019-06,84.3,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2019-07,85.6,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2019-08,87.2,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2019-09,89.6,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2019-10,86.7,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2019-11,90.4,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2019-12,89.1,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2020-01,91.7,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2020-02,91.8,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2020-03,93.1,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2020-04,97.5,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2020-05,95.9,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2020-06,95.2,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2020-07,91.4,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2020-08,94.1,
ESTAT:PRC_HICP_MIDX(1.0),19/12/23 11:00:00,M,I15,CP01112,CZ,2020-09,94.4,
